時間,CO2(ppm),PM2.5(μg/m³)
2025-04-30 10:48:18,937.6,14.54
2025-04-30 10:48:56,941.6,14.58
2025-04-30 10:49:33,926.6,14.8
2025-04-30 10:50:10,893.6,14.58
2025-04-30 10:50:46,874.6,14.71
2025-04-30 10:51:23,886.6,14.97
2025-04-30 10:52:00,900.6,14.58
2025-04-30 10:52:37,890.6,14.77
2025-04-30 10:53:14,879.6,14.35
2025-04-30 10:53:51,872.6,14.8
2025-04-30 10:54:28,869.6,14.94
2025-04-30 10:55:05,867.6,15.77
2025-04-30 10:55:40,866.6,14.7
2025-04-30 10:56:17,867.6,14.56
2025-04-30 10:56:53,866.6,14.69
2025-04-30 10:57:30,864.6,15.08
2025-04-30 10:58:07,863.6,14.66
2025-04-30 10:58:44,862.6,14.12
2025-04-30 10:59:21,865.6,14.18
2025-04-30 10:59:58,866.6,15.26
2025-04-30 11:00:34,868.6,15.41
2025-04-30 11:01:11,868.6,13.98
2025-04-30 11:01:48,871.6,14.79
2025-04-30 11:02:25,875.6,14.6
2025-04-30 11:03:01,874.6,14.24
2025-04-30 11:03:38,874.6,14.91
2025-04-30 11:04:15,876.6,14.42
2025-04-30 11:04:52,874.6,14.37
2025-04-30 11:05:28,876.6,13.95
2025-04-30 11:06:05,876.6,15.29
2025-04-30 11:06:42,876.6,14.2
2025-04-30 11:07:19,878.6,15.18
2025-04-30 11:07:56,877.6,15.56
2025-04-30 11:08:33,877.6,15.34
2025-04-30 11:09:09,877.6,15.18
2025-04-30 11:09:46,878.6,15.61
2025-04-30 11:10:23,877.6,14.8
2025-04-30 11:11:00,877.6,15.51
2025-04-30 11:11:37,879.6,14.99
2025-04-30 11:12:13,877.6,15.61
2025-04-30 11:12:50,880.6,14.58
2025-04-30 11:13:27,876.6,14.5
2025-04-30 11:14:04,875.6,14.52
2025-04-30 11:14:41,875.6,15.24
2025-04-30 11:15:18,877.6,15.51
2025-04-30 11:15:55,880.6,15.45
2025-04-30 11:16:31,880.6,15.88
2025-04-30 11:17:08,881.6,15.09
2025-04-30 11:17:45,885.6,16.14
2025-04-30 11:18:22,886.6,15.56
2025-04-30 11:18:58,885.6,16.35
2025-04-30 11:19:35,884.6,15.45
2025-04-30 11:20:12,885.6,15.4
2025-04-30 11:20:49,887.6,15.56
2025-04-30 11:21:25,886.6,16.14
2025-04-30 11:22:02,887.6,15.29
2025-04-30 11:22:39,888.6,15.24
2025-04-30 11:23:16,885.6,14.75
2025-04-30 11:23:53,888.6,15.45
2025-04-30 11:24:29,888.6,15.02
2025-04-30 11:25:06,888.6,15.88
2025-04-30 11:25:45,888.6,14.97
2025-04-30 11:26:21,888.6,16.04
2025-04-30 11:26:58,888.6,16.87
2025-04-30 11:27:35,889.6,15.18
2025-04-30 11:28:12,888.6,16.92
2025-04-30 11:28:49,889.6,15.61
2025-04-30 11:29:26,888.6,16.25
2025-04-30 11:30:02,888.6,16.82
2025-04-30 11:30:39,888.6,17.23
2025-04-30 11:31:16,890.6,15.93
2025-04-30 11:31:53,890.6,16.77
2025-04-30 11:32:30,890.6,15.29
2025-04-30 11:33:06,890.6,15.45
2025-04-30 11:33:43,892.6,16.77
2025-04-30 12:03:29,927.6,18.08
2025-04-30 12:03:56,929.6,17.33
2025-04-30 12:04:33,960.6,17.89
2025-04-30 12:05:04,988.6,17.33
2025-04-30 12:05:41,1017.6,17.27
2025-04-30 12:06:18,1052.6,16.66
2025-04-30 12:06:55,1044.6,17.39
2025-04-30 12:07:32,1001.6,17.02
2025-04-30 12:08:08,972.6,18.58
2025-04-30 12:08:45,951.6,17.46
2025-04-30 12:09:22,940.6,16.72
2025-04-30 12:09:59,932.6,18.64
2025-04-30 12:10:35,923.6,16.72
2025-04-30 12:11:12,920.6,19.52
2025-04-30 12:11:49,919.6,18.2
2025-04-30 12:12:26,918.6,17.64
2025-04-30 12:13:02,918.6,18.39
2025-04-30 12:13:39,918.6,18.2
2025-04-30 12:14:16,918.6,18.2
2025-04-30 12:14:53,918.6,17.96
2025-04-30 12:15:30,919.6,18.45
2025-04-30 12:16:06,920.6,17.46
2025-04-30 12:16:43,920.6,18.77
2025-04-30 12:17:20,918.6,17.83
2025-04-30 12:17:57,920.6,17.46
2025-04-30 12:18:33,927.6,18.77
2025-04-30 12:19:10,929.6,18.2
2025-04-30 12:19:47,929.6,16.97
2025-04-30 12:20:24,931.6,17.52
2025-04-30 12:21:00,931.6,17.23
2025-04-30 12:21:37,932.6,18.08
2025-04-30 12:22:14,933.6,17.18
2025-04-30 12:22:50,933.6,17.64
2025-04-30 12:23:27,934.6,18.95
2025-04-30 12:24:04,937.6,17.96
2025-04-30 12:24:41,938.6,18.39
2025-04-30 12:25:18,937.6,19.14
2025-04-30 12:25:55,937.6,18.14
2025-04-30 12:26:31,937.6,16.66
2025-04-30 12:27:08,937.6,18.64
2025-04-30 12:27:45,940.6,17.33
2025-04-30 12:28:22,940.6,18.95
2025-04-30 12:28:58,939.6,19.08
2025-04-30 12:29:35,934.6,20.27
2025-04-30 12:30:12,934.6,20.39
2025-04-30 12:30:49,934.6,19.14
2025-04-30 12:31:25,932.6,19.08
2025-04-30 12:32:02,929.6,19.64
2025-04-30 12:32:39,926.6,17.58
2025-04-30 12:33:16,925.6,17.21
2025-04-30 12:33:52,923.6,19.95
2025-04-30 12:34:29,923.6,19.2
2025-04-30 12:35:06,926.6,19.2
2025-04-30 12:35:43,927.6,20.14
2025-04-30 12:36:19,927.6,18.77
2025-04-30 12:36:56,929.6,18.64
2025-04-30 12:37:33,929.6,18.33
2025-04-30 12:38:10,930.6,18.52
2025-04-30 12:38:47,933.6,17.33
2025-04-30 12:39:23,932.6,18.52
2025-04-30 12:40:00,933.6,18.39
2025-04-30 12:40:37,934.6,18.45
2025-04-30 12:41:14,933.6,19.02
2025-04-30 12:41:50,932.6,17.46
2025-04-30 12:42:27,932.6,17.77
2025-04-30 12:43:04,934.6,19.58
2025-04-30 12:43:41,934.6,18.33
2025-04-30 12:44:17,934.6,17.58
2025-04-30 12:44:54,935.6,17.13
2025-04-30 12:45:31,936.6,16.87
2025-04-30 12:46:08,938.6,18.33
2025-04-30 12:46:45,942.6,17.58
2025-04-30 12:47:22,940.6,17.96
2025-04-30 12:47:59,939.6,18.2
2025-04-30 12:48:35,941.6,18.7
2025-04-30 12:49:12,941.6,18.02
2025-04-30 12:49:49,942.6,19.64
2025-04-30 12:50:26,942.6,18.27
2025-04-30 12:51:03,942.6,18.33
2025-04-30 12:51:39,942.6,18.89
2025-04-30 12:52:16,943.6,17.64
2025-04-30 12:52:53,943.6,17.46
2025-04-30 12:53:31,944.6,17.89
2025-04-30 12:54:07,944.6,17.83
2025-04-30 12:54:44,945.6,17.77
2025-04-30 12:55:21,946.6,18.7
2025-04-30 12:55:58,946.6,18.95
2025-04-30 14:02:02,913.6,19.89
2025-04-30 14:02:39,977.6,19.95
2025-04-30 14:03:09,951.6,20.27
2025-04-30 14:03:46,938.6,20.2
2025-04-30 14:04:22,932.6,19.7
2025-04-30 14:04:59,916.6,20.33
2025-04-30 14:05:16,914.6,19.95
2025-04-30 14:05:58,910.6,20.33
2025-04-30 14:06:36,908.6,20.52
2025-04-30 14:06:49,907.6,20.89
2025-04-30 14:07:29,906.6,20.39
2025-04-30 14:08:06,905.6,21.02
2025-04-30 14:09:47,899.6,22.15
2025-04-30 14:10:24,898.6,20.45
2025-04-30 14:11:06,898.6,20.2
2025-04-30 14:11:48,901.6,19.2
2025-04-30 14:12:24,902.6,19.64
2025-04-30 14:13:01,902.6,19.45
2025-04-30 14:13:38,900.6,18.95
2025-04-30 14:14:15,899.6,19.64
2025-04-30 14:14:51,899.6,19.02
2025-04-30 14:15:28,898.6,19.83
2025-04-30 14:16:05,898.6,21.52
2025-04-30 14:16:42,899.6,18.83
2025-04-30 14:17:24,899.6,19.2
2025-04-30 14:18:01,898.6,19.08
2025-04-30 14:18:37,898.6,20.64
2025-04-30 14:19:19,911.6,18.89
2025-04-30 14:19:56,915.6,19.83
2025-04-30 14:20:33,913.6,20.2
2025-04-30 14:21:10,911.6,19.39
2025-04-30 14:21:47,911.6,19.83
2025-04-30 14:22:23,911.6,19.77
2025-04-30 14:23:00,909.6,18.39
2025-04-30 14:23:37,910.6,19.2
2025-04-30 14:24:14,908.6,19.89
2025-04-30 14:24:51,908.6,20.64
2025-04-30 14:25:28,906.6,19.95
2025-04-30 14:26:04,906.6,20.33
2025-04-30 14:26:41,906.6,18.83
2025-04-30 14:27:18,905.6,20.58
2025-04-30 14:27:55,904.6,20.27
2025-04-30 14:28:31,904.6,19.14
2025-04-30 14:29:13,903.6,19.2
2025-04-30 14:29:50,904.6,18.64
2025-04-30 14:30:27,903.6,18.64
2025-04-30 14:31:08,903.6,19.08
2025-04-30 14:31:45,903.6,19.64
2025-04-30 14:32:22,902.6,21.52
2025-04-30 14:32:59,901.6,20.39
2025-04-30 14:33:36,902.6,19.64
2025-04-30 14:34:12,903.6,20.02
